Etymon pt-PT	hiTenTen21 Relative (1)	Headword	hiTenTen21 Absolute (1)	Headword (Hi)	Etymon pt-PT New Spelling	DALGADO Pt-Lemma	Etymology	Etymology Free	Alternative Etymology (1)	Transliteration	Urdu 	Part of Speech	Pronunciation	Gender	Definition	Domain	Lexical field	Grammar	direct singular	oblique singular	vocative singular	direct plural	oblique plural	vocative plural	Etymon pt-PT_1
outubro	20.58	अक्तूबर	18,552	अक्तूबर		NA	outubro (Source: Wiktionary);  English October (Source: McGregor)	outubro (Source: Wiktionary);  English October (Source: McGregor)	 English October (Source: McGregor)	aktūbara	اَکْتُوبَر⁩	noun	(Delhi Hindi) IPA(key): /ək.t̪uː.bəɾ/, [ɐk.t̪uː.bɐɾ]	m.	October	calendar	month								mestre
agosto	97.61	अगस्त	87,980	अगस्त		NA		agosto (Source:  W)	English August (Source: McGregor)	agasta	اگست	noun	(Delhi Hindi) IPA(key): /ə.ɡəst̪/, [ɐ.ɡɐst̪]	m.	August	calendar	month	masc cons-stem	अगस्त	अगस्त	अगस्त	अगस्त	अगस्तों	अगस्तो	agosto
inglês	2.58	अँग्रेज़	2,327	अँग्रेज़		inglês	inglês (Source: Dalgado)	inglês (Source: Dalgado)		am̐grēz	انگریز	noun	(Delhi Hindi) IPA(key): /əŋ.ɡɾeːz/, [ɐ̃ŋ.ɡɾeːz], /əŋ.ɡɾeːd͡ʒ/, [ɐ̃ŋ.ɡɾeːd͡ʒ]	m. or f.	English person (Englishman or Englishwoman)	geography	nationalities and ethnic groups								hospital
inglês		अचार	7315	अचार		inglês	inglês (Source: Dalgado)	inglês (Source: Dalgado)		aṅgrez	انگریز	noun	(Delhi Hindi) IPA(key): /əŋ.ɡɾeːz/, [ɐ̃ŋ.ɡɾeːz], /əŋ.ɡɾeːd͡ʒ/, [ɐ̃ŋ.ɡɾeːd͡ʒ]	m. or f.	English person (Englishman or Englishwoman)	geography	nationalities and ethnic groups								igreja
achar	8	अनन्नास	2,541	अनन्नास		achar	achar (Source: Dalgado)	achar (Source: Dalgado)	 آچار Persian https://en.wiktionary.org/wiki/%D8%A2%DA%86%D8%A7%D8%B1#Persian (source: Wiktionary) 	achār	اچار	noun	(Delhi) IPA(key): /ə.t͡ʃɑːɾ/, [ɐ.t͡ʃäːɾ]	m.	achar (a spicy and salty pickle of Indian cuisine)	culinary	food / preserves		अचार	अचार	अचार	अचार	अचारों	अचारो	achar
ananás	2.82	अनीसून		अनीसून		ananás	ananás (Source: Dalgado)	ananás (Source: Dalgado)		anannāsa	انناس	noun	(Delhi Hindi) IPA(key): /ə.nən.nɑːs/, [ɐ.nɐ̃n.näːs]	m.	pineapple (fruit)	botany	fruits	masc cons-stem	अनन्नास	अनन्नास	अनन्नास	अनन्नास	अनन्नासों	अनन्नासो	amen
anis						? anis	? anis (Source: Dalgado); Greek ἄνισον https://en.wiktionary.org/wiki/%E1%BC%84%CE%BD%CE%B9%CF%83%CE%BF%CE%BD (Source: Dalgado) ; Latin anisum https://en.wiktionary.org/wiki/anisum#Latin (Source: Dalgado)	? anis (Source: Dalgado); Greek ἄνισον  (Source: Dalgado) ; Latin anisum  (Source: Dalgado)	Greek ἄνισον https://en.wiktionary.org/wiki/%E1%BC%84%CE%BD%CE%B9%CF%83%CE%BF%CE%BD (Source: Dalgado) ; Latin anisum https://en.wiktionary.org/wiki/anisum#Latin (Source: Dalgado)	anīsun	اَنِیسُون	noun		m.	aniseed										ananás
ambar		अंबर		अंबर	âmbar	ambar	ambar (Source: Dalgado); Persian عنبر https://en.wiktionary.org/wiki/%D8%B9%D9%86%D8%A8%D8%B1#Persian (source:  Wiktionary); Arabic عَنْبَر https://en.wiktionary.org/wiki/%D8%B9%D9%86%D8%A8%D8%B1#Arabic (Source: Dalgado)	ambar (Source: Dalgado); Persian عنبر  (source:  Wiktionary); Arabic عَنْبَر  (Source: Dalgado)	Persian عنبر https://en.wiktionary.org/wiki/%D8%B9%D9%86%D8%A8%D8%B1#Persian (source:  Wiktionary); Arabic عَنْبَر https://en.wiktionary.org/wiki/%D8%B9%D9%86%D8%A8%D8%B1#Arabic (Source: Dalgado)	ambar	عنبر	noun	(Delhi) IPA(key): /əm.bəɾ/, [ɐ̃m.bɐɾ]	m.	ambergris perfume	materials	substances	masc cons-stem	अंबर	अंबर	अंबर	अंबर	अंबरों	अंबरो	ama
armário	4.93	अलमारी	4,445	अलमारी		armário	armário (Source: Dalgado)	armário (Source: Dalgado)		alamārī	اَلْماری	noun	(Delhi Hindi) IPA(key): /əl.mɑː.ɾiː/, [ɐl.mäː.ɾiː]	f.	cupboard, shelf; almirah	furniture	pieces of furniture	fem ī-stem	अलमारी	अलमारी	अलमारी	अलमारियाँ	अलमारियों	अलमारियो	anis
estábulo	0.62	अस्तबल	556	अस्तबल		NA	estábulo  (Source: McGregor); Arabic ist̤abal (Source: McGregor)	estábulo  (Source: McGregor); Arabic ist̤abal (Source: McGregor)	Arabic ist̤abal (Source: McGregor)	astabala	اَصْطَبَل	noun	(Delhi Hindi) IPA(key): /əs.t̪ə.bəl/, [ɐs.t̪ɐ.bɐl]	m.	stable (for a horse)	animal husbandry	animal housing	masc cons-stem	अस्तबल	अस्तबल	अस्तबल	अस्तबल	अस्तबलों	अस्तबलो	dezembro
espital	279.86	अस्पताल	252,251	अस्पताल		NA	espital (Source: Wiktionary); English hospital (Source: McGregor)	espital (Source: Wiktionary); English hospital (Source: McGregor)	English hospital (Source: McGregor)	aspatāla	اَسْپَتال⁩	noun	(Delhi Hindi) IPA(key): /əs.pə.t̪ɑːl/, [ɐs.pɐ.t̪äːl]	m.	hospital	healthcare	medical institutions	masc cons-stem	अस्पताल	अस्पताल	अस्पताल	अस्पताल	अस्पतालों	अस्पतालो	gudão
amen		आमीन	1,001	आमीन	amém ou ámen	amen	amen (Source: Dalgado); Arabic آمين https://en.wiktionary.org/wiki/%D8%A2%D9%85%D9%8A%D9%86 (Source: Dalgado)	amen (Source: Dalgado); Arabic آمين  (Source: Dalgado)	Arabic آمين https://en.wiktionary.org/wiki/%D8%A2%D9%85%D9%8A%D9%86 (Source: Dalgado)	āmīn	آمین	interjection			amen	religion	practices, beliefs and rituals								ambar
aia	N	आया	N	आया		aia	aia (Source: Dalgado)			āyā	آیا‎	noun	(Delhi Hindi) IPA(key): /ɑː.jɑː/, [äː.jäː]	f.	ayah: nurse maid, nurse	occupations	domestic service / childcare	fem ā-stem	आया	आया	आया	आयाएँ	आयाओं	आयाओ	aia
alfinete	0.03	आलपीन	28	आलपीन		alfinete	alfinete (Source: Dalgado)			ālapīn 	آلپ 	noun	(Delhi Hindi) IPA(key): /ɑːl.piːn/, [äːl.pĩːn]	f.	safety pin & a pin	sewing	accessories	fem cons-stem	आलपीन	आलपीन	आलपीन	आलपीनें	आलपीनों	आलपीनो	alfinete
estirar	0.17	इस्तरी	155	इस्तरी		estirar	estirar (Source: Dalgado)	estirar (Source: Dalgado)		istarī	استری	noun	(Delhi Hindi) IPA(key): /ɪs.t̪ɾiː/	f.	iron, press			fem ī-stem	इस्त्री	इस्त्री	इस्त्री	इस्त्रियाँ	इस्त्रियों	इस्त्रियो	espada
espada	12.07	इस्पात	10,882	इस्पात		espada	espada (Source: Dalgado)	espada (Source: Dalgado)		ispāta	اسپات	noun	(Delhi Hindi) IPA(key): /ɪs.pɑːt̪/, [ɪs.päːt̪]	m.	steel		weapons, explosives, devices								da Silva
holandês	<0.01	ओलंदेज़	1	ओलंदेज़						olandez	ولندیز	noun	(Delhi Hindi) IPA(key): /oː.lən.d̪eːz/, [oː.lɐ̃n̪.d̪eːz], /oː.lən.d̪eːd͡ʒ/, [oː.lɐ̃n̪.d̪eːd͡ʒ]	m. or f.	(dated) Dutchman; citizen of Holland 	geography	nationalities and ethnic groups								gentio
candil		कंदील	421	क़ंदील		? candil	? candil (Source: Dalgado); Arabic قنديل https://en.wiktionary.org/wiki/%D9%82%D9%86%D8%AF%D9%8A%D9%84#Arabic (Source: Dalgado)	? candil (Source: Dalgado); Arabic قنديل  (Source: Dalgado)	Arabic قنديل https://en.wiktionary.org/wiki/%D9%82%D9%86%D8%AF%D9%8A%D9%84#Arabic (Source: Dalgado)	kandīl	قندیل	noun		f.	a lantern	objects	domestic items / lighting								camisa
campo		कंपू	N	कंपू		campo	campo (Source: Dalgado); English camp (Source: McGregor)	campo (Source: Dalgado); English camp (Source: McGregor)	English camp (Source: McGregor)	kampū		noun	(Delhi) IPA(key): /kəm.puː/, [kɐ̃m.puː]	m.	encampment & tent & cantonment & camp 										câmara
capitão		कप्तान	91962	कप्तान		capitão	capitão (Source: Dalgado); English Captain (Source: Wiktionary)	capitão (Source: Dalgado); English Captain (Source: Wiktionary)	English Captain (Source: Wiktionary)	kaptān	کپتان	noun	(Delhi) IPA(key): /kəp.t̪ɑːn/, [kɐp.t̪ä̃ːn]	m.	captain (of a ship)	nautics	military ranks and titles								campo
câmara	95.94	कमरा	86,477	कमरा		câmara	câmara (Source: Dalgado)	câmara (Source: Dalgado)		kamarā	کِران٘چی	noun	(Delhi Hindi) IPA(key): /kəm.ɾɑː/, [kɐ̃m.ɾäː]	m.	room	architecture	buildings	masc ā-stem	कमरा	कमरे	कमरे	कमरे	कमरों	कमरो	caju
camisa		क़मीज़	2427	क़मीज़		camisa	camisa (Source: Dalgado); Persian قمیص https://en.wiktionary.org/wiki/%D9%82%D9%85%DB%8C%D8%B5#Persian (Source: Wiktionary); Arabic (Source: Dalgado)	camisa (Source: Dalgado); Persian قمیص  (Source: Wiktionary); Arabic (Source: Dalgado)	Persian قمیص https://en.wiktionary.org/wiki/%D9%82%D9%85%DB%8C%D8%B5#Persian (Source: Wiktionary); Arabic (Source: Dalgado)	qamīz	قمیض	noun	(Delhi) IPA(key): /qə.miːz/, [qɐ.miːz], /kə.miːd͡ʒ/, [kɐ.miːd͡ʒ]	f.	shirt	clothing	clothing items								calafate
querubim		करूबीम	0	करूबीम		querubim	querubim (Source: Dalgado)	querubim (Source: Dalgado)			کَرُوبِیم	noun			cherubim										prato
coronel		कर्नल	11389	कर्नल		coronel	coronel (Source: Dalgado); English colonel (Source: D, Wiktionary)	coronel (Source: Dalgado); English colonel (Source: D, Wiktionary)	English colonel (Source: D, Wiktionary)	karnal	کرنل	noun		m.	colonel	military	military ranks and titles								coche
calafate		कलापट्टी	0	कलापट्टी		calafate	calafate (Source: Dalgado); Arabic (Source: Dalgado)	calafate (Source: Dalgado); Arabic (Source: Dalgado)	Arabic (Source: Dalgado)	kalāpaṭṭā		noun		m.	caulker	nautics	nautical tools, components and materials								botelha
casa		काज		काज		casa	casa (Source: Dalgado); Sanskrit काचः 'a loop' (Source: Platts)	casa (Source: Dalgado); Sanskrit काचः 'a loop' (Source: Platts)	Sanskrit काचः 'a loop' (Source: Platts)	kāj	کاج	noun	(Delhi) IPA(key): /kɑːd͡ʒ/, [käːd͡ʒ]	m.	a buttonhole										carraguem
caju	7.87	काजू	7090	काजू		NA				kājū	کاجو⁩	noun	(Delhi Hindi) IPA(key): /kɑː.d͡ʒuː/, [käː.d͡ʒuː]	m.	cashew nut	botany	fruits	masc ū-stem	काजू	काजू	काजू	काजू	काजुओं	काजुओ	botão
cartucho		कारतूस	6780	कारतूस		? cartucho	? cartucho (Source: Dalgado); French cartouche (Source: McGregor)	? cartucho (Source: Dalgado); French cartouche (Source: McGregor)	French cartouche (Source: McGregor)	kārtūs	کارتوس	noun	(Delhi) IPA(key): /kɑːɾ.t̪uːs/, [käːɾ.t̪uːs]	m.	(firearms) cartridge										carabina
carabina		कारबाइन	94	कारबाइन		? carabina	? carabina (Source: Dalgado); French carabine (Source: Dalgado); Persian qarābīn (Source: McGregor)	? carabina (Source: Dalgado); French carabine (Source: Dalgado); Persian qarābīn (Source: McGregor)	French carabine (Source: Dalgado); Persian qarābīn (Source: McGregor)	kaṛābīn	کاربائن	noun		f.	a carbine										candil
carraguem	<0.01	किराँची	0	किराँची		NA	NA (Source: Dalgado); 			kirām̐cī	کِران٘چی	noun	(Delhi Hindi) IPA(key): /kɪ.ɾɑ̃ː.t͡ʃiː/, [kɪ.ɾä̃ː.t͡ʃiː]	f.	a cart used to carry loads, carriage of goods train & bullock cart			fem ī-stem	किराँची	किराँची	किराँची	किराँचियाँ	किराँचियों	किराँचियो	capitão
cunha		कुनिया	24	कुनिया		cunha	cunha (Source: Dalgado)	cunha (Source: Dalgado)				noun			wedge										cristão
católico		कैथोलिक	4099	कैथोलिक		católico	católico (Source: Dalgado); English Catholic (Source: Dalgado, Wiktionary)	católico (Source: Dalgado); English Catholic (Source: Dalgado, Wiktionary)	English Catholic (Source: Dalgado, Wiktionary)	kaitholik	کیتھولک	noun	(Delhi) IPA(key): /kɛː.t̪ʰoː.lɪk/	m. or f.	Catholic, Roman Catholic	religion	practices, beliefs and rituals								cartucho
cocheiro		कोचवान	196	कोचवान		cocheiro	cocheiro (Source: Dalgado); English coachman (Source: Dalgado)	cocheiro (Source: Dalgado); English coachman (Source: Dalgado)	English coachman (Source: Dalgado)	kochvān	کوچبان	noun		m.	a coachman										cifra
cristão	0.06	क्रिस्तान	54	क्रिस्तान		NA	NA (Source: Dalgado); 			kristāna	کِرسٹان	noun	(Delhi Hindi) IPA(key): /kɾɪs.t̪ɑːn/, [kɾɪs.t̪ä̃ːn]	m. or f.	christian	religion	practices, beliefs and rituals								coronel
cruz	0.82	क्रूस	735	क्रूस		cruz	cruz (Source: Dalgado)	cruz (Source: Dalgado)		krūsa	⁧کْرُوس⁩	noun	(Delhi Hindi) IPA(key): /kɾuːs/	m.	the cross on which Jesus Christ was crucified & crucifix, cross	religion	practices, beliefs and rituals	masc cons-stem	क्रूस	क्रूस	क्रूस	क्रूस	क्रूसों	क्रूसो	couve
igreja	0.68	गिरजा	609	गिरजा		igreja	igreja (Source: Dalgado)	igreja (Source: Dalgado)		girajā	⁧گِرْجا⁩	noun	(Delhi Hindi) IPA(key): /ɡɪɾ.d͡ʒɑː/, [ɡɪɾ.d͡ʒäː]	m.	church & chapel	religion	religious buildings	masc ā-stem	गिरजा	गिरजे	गिरजे	गिरजे	गिरजों	गिरजो	holandês
gudão		गोदाम	11830	गोदाम		gudão	gudão (Source: Dalgado); Bengali gudām https://en.wiktionary.org/wiki/%E0%A6%97%E0%A7%81%E0%A6%A6%E0%A6%BE%E0%A6%AE#Bengali (Source: Wiktionary, McGregor)	gudão (Source: Dalgado); Bengali gudām  (Source: Wiktionary, McGregor)	Bengali gudām https://en.wiktionary.org/wiki/%E0%A6%97%E0%A7%81%E0%A6%A6%E0%A6%BE%E0%A6%AE#Bengali (Source: Wiktionary, McGregor)	godām	گودام	noun		m.	storage, godown										forma
