Etymon pt-PT Note	Etymon pt-PT	Transliteration	Etymology Free	Headword	urTenTen18	urTenTen18 Relative	Headword Hindi	Part of Speech	Gender	Pronunciation	Sense (Wiktionary)	Variant	Headword (Ur)	Domain	Grammar	direct singular	oblique singular	vocative singular	direct plural	oblique plural	vocative plural	Etymon pt-PT_1
	achar	ācār	pt achar (Source: Dalgado) .	اچار	441	1.61	अचार	noun	m.	(Standard Urdu) IPA(key): /ə.t͡ʃɑːɾ/	achar (a spicy and salty pickle of Indian cuisine)		اچار									
	agosto	agast	en August (Source: Platts) .	اگست	26,735	97.84	अगस्त	noun	m.	(Standard Urdu) IPA(key): /ə.ɡəst̪/	August		اگست									
	aia	āyā	pt aia (Source: Dalgado, Fallon, Platts) .	آیا‎	0		आया	noun	f.	(Standard Urdu) IPA(key): /ɑː.jɑː/	ayah: nurse maid, nurse											
	alfinete	ālpin	pt alfinete (Source: Dalgado, Fallon, Platts, Qureshi)  .	آلپین	1	< 0.01	आलपीन	noun	f.		safety pin & a pin											
	ambar	ambar	pt ambar (Source: Dalgado) | arعنبر [corr. of] (Source: Dalgado, Platts) .	عنبر			अंबर	noun	m.		ambergris perfume											
	amen	āmīn	pt amen (Source: Dalgado) | ar آمين ‘amen’ (Source: Dalgado, Platts) .	آمین			आमीन	interjection			amen											
	ananás	anannās	pt ananás ‘pineapple’ (Source: Dalgado, Fallon, Platts) .	انناس	309	1.13	अनन्नास	noun	m.		pineapple (fruit)		انناس									
	anis	anīsun	pt ? anis (Source: Dalgado) | grc ἄνισον ‘anise (Pimpinella anisum)’ (Source: Dalgado) | la anisum ‘anise (Pimpinella anisum)’  (Source: Dalgado) . 	اَنِیسُون	14	0.05	अनीसून	noun	m.		aniseed		اَنِیسُون									
	armário	almārī	pt armário [semantic broadening] (Source: Dalgado, Fallon, Platts) .	اَلْماری	1,226	4.49	अलमारी	noun	f.	(Standard Urdu) IPA(key): /əl.mɑː.ɾiː/	cupboard, shelf; almirah		اَلْماری			الماری⁩	الماری⁩	الماری⁩	الماریاں	الماریوں	الماریو	
	arrátel	ratal	pt arrátel (Source: Dalgado) | ar rat̤l (Source: Qureshi) .	رطل	53	0.19	रतल	noun	m.		a pound weight		رطل									
	bacia ou bacio	basan	pt bacia, bacio (Source: Dalgado) | sa भाजन ‘(arithmetic) dividing, sharing' & 'a vessel, pot, plate, cup (Source: Dalgado) | sa वासन (Source: Platts) .	باسن			बासन	noun	m.		pot; any container 											
